NODE_ID,WEIGHT,VOLUME,SERVICE_TIME,EAT,LAT,TIME WINDOW
1,5.4,0.029027999999999998,12,0,180,"(0,180)"
2,0.304,0.002996,4,0,300,"(0,300)"
3,13.706,0.126176,4,0,300,"(0,300)"
4,0.254,0.0026360000000000003,4,0,300,"(0,300)"
5,0.2,0.0014399999999999999,4,0,300,"(0,300)"
6,3.704,0.008128999999999999,4,0,300,"(0,300)"
7,1.936,0.039088,12,0,180,"(0,180)"
8,0.304,0.002996,4,0,300,"(0,300)"
9,10.169,0.023765,12,0,180,"(0,180)"
10,0.304,0.002996,4,0,300,"(0,300)"
11,54.24,0.072195,12,0,180,"(0,180)"
12,0.533,0.004319,12,0,180,"(0,180)"
13,4.4030000000000005,0.18909499999999999,4,0,300,"(0,300)"
14,6.326,0.016684,4,0,300,"(0,300)"
15,29.066,0.054183,4,0,300,"(0,300)"
16,3.062,0.005333,4,0,300,"(0,300)"
17,35.049,0.186816,8,0,360,"(0,360)"
18,7.484,0.014664,4,0,300,"(0,300)"
19,0.304,0.002996,4,0,300,"(0,300)"
20,49.2,0.16835,8,0,360,"(0,360)"
21,0.033,0.00032,12,0,180,"(0,180)"
22,0.078,0.0005600000000000001,4,0,300,"(0,300)"
23,0.228,0.002247,4,0,300,"(0,300)"
24,1.69,0.005548,12,0,180,"(0,180)"
25,0.714,0.0024140000000000003,12,0,180,"(0,180)"
26,0.062,0.000606,12,0,180,"(0,180)"
27,1.398,0.00663,4,0,300,"(0,300)"
28,0.304,0.002996,4,0,300,"(0,300)"
29,17.108999999999998,0.036090000000000004,4,0,300,"(0,300)"
30,0.304,0.002996,4,0,300,"(0,300)"
31,34.8,0.14376,4,0,300,"(0,300)"
32,0.304,0.002996,8,0,360,"(0,360)"
33,1.762,0.003342,4,0,300,"(0,300)"
34,4.883,0.009319000000000001,4,0,300,"(0,300)"
35,0.2,0.0014399999999999999,4,0,300,"(0,300)"
36,21.915,0.04851,4,0,300,"(0,300)"
37,19.0,0.06376,8,0,360,"(0,360)"
38,27.894,0.529609,4,0,300,"(0,300)"
39,1.802,0.006886,4,0,300,"(0,300)"
40,0.51,0.00381,4,0,300,"(0,300)"
41,1.33,0.08275,4,0,300,"(0,300)"
42,0.404,0.0036880000000000003,4,0,300,"(0,300)"
43,8.116,0.18874000000000002,4,0,300,"(0,300)"
44,38.112,0.085983,4,0,300,"(0,300)"
45,20.268,0.050307000000000004,8,0,360,"(0,360)"
46,18.816,0.07587,8,0,360,"(0,360)"
47,0.306,0.0023490000000000004,4,0,300,"(0,300)"
48,0.304,0.002996,4,0,300,"(0,300)"
49,10.17,0.22374599999999997,4,0,300,"(0,300)"
50,2.981,0.005628,4,0,300,"(0,300)"
51,0.304,0.002996,4,0,300,"(0,300)"
52,33.589,0.124152,4,0,300,"(0,300)"
53,1.939,0.008996,4,0,300,"(0,300)"
54,40.4,0.117548,8,0,360,"(0,360)"
55,16.57,0.209714,4,0,300,"(0,300)"
56,32.496,0.25518799999999997,4,0,300,"(0,300)"
57,2.608,0.011282,4,0,300,"(0,300)"
58,0.2,0.0014399999999999999,4,0,300,"(0,300)"
59,66.125,0.33059299999999997,8,0,360,"(0,360)"
60,0.304,0.002996,4,0,300,"(0,300)"
61,8.331,0.017547999999999998,4,0,300,"(0,300)"
62,2.439,0.004958000000000001,4,0,300,"(0,300)"
63,0.09,0.000366,12,0,180,"(0,180)"
64,0.082,0.0005819999999999999,4,0,300,"(0,300)"
65,7.556,0.18266,4,0,300,"(0,300)"
66,7.556,0.18266,4,0,300,"(0,300)"
67,5.299,0.050155,8,0,360,"(0,360)"
