NODE_ID,WEIGHT,VOLUME,SERVICE_TIME,EAT,LAT,TIME_WINDOW
1,1.695,0.003447,4,0,300,"(0,300)"
2,5.616,0.011151999999999999,4,0,300,"(0,300)"
3,2.657,0.005424,4,0,300,"(0,300)"
4,1.383,0.002656,4,0,300,"(0,300)"
5,31.313000000000002,0.107807,8,0,360,"(0,360)"
6,0.47700000000000004,0.001504,8,0,360,"(0,360)"
7,24.908,0.049274,4,0,300,"(0,300)"
8,8.258,0.01606,4,0,300,"(0,300)"
9,51.561,0.774945,4,0,300,"(0,300)"
10,0.438,0.002049,4,0,300,"(0,300)"
11,71.76,0.07682,12,0,180,"(0,180)"
12,59.76,0.132192,12,0,180,"(0,180)"
13,3.59,0.01272,12,0,180,"(0,180)"
14,1.105,0.005782,12,0,180,"(0,180)"
15,0.708,0.002823,4,0,300,"(0,300)"
16,0.28,0.0019299999999999999,12,0,180,"(0,180)"
17,0.7,0.0040999999999999995,4,0,300,"(0,300)"
18,2.652,0.013872,4,0,300,"(0,300)"
19,2.361,0.0046040000000000005,4,0,300,"(0,300)"
20,21.022,0.04132,4,0,300,"(0,300)"
21,1.326,0.006936,4,0,300,"(0,300)"
22,1.984,0.0040030000000000005,4,0,300,"(0,300)"
23,0.1,0.00040699999999999997,12,0,180,"(0,180)"
24,1.813,0.003419,4,0,300,"(0,300)"
25,0.3,0.0351,12,0,180,"(0,180)"
26,0.034,0.000262,12,0,180,"(0,180)"
27,5.98,0.07083,4,0,300,"(0,300)"
28,0.704,0.00429,12,0,180,"(0,180)"
29,19.07,0.08822999999999999,12,0,180,"(0,180)"
30,11.055,0.04194,12,0,180,"(0,180)"
31,2.5100000000000002,0.025788000000000002,12,0,180,"(0,180)"
32,4.314,0.014643000000000002,4,0,300,"(0,300)"
33,0.27,0.0007740000000000001,4,0,300,"(0,300)"
34,3.83,0.00785,12,0,180,"(0,180)"
35,1.326,0.006936,4,0,300,"(0,300)"
36,2.1599999999999997,0.011255,4,0,300,"(0,300)"
37,22.141,0.154512,4,0,300,"(0,300)"
38,10.315,0.019327,4,0,300,"(0,300)"
39,1.418,0.0030960000000000002,4,0,300,"(0,300)"
40,1.829,0.004952,4,0,300,"(0,300)"
41,32.597,0.061441,4,0,300,"(0,300)"
42,13.186,0.083068,4,0,300,"(0,300)"
43,2.566,0.004636,4,0,300,"(0,300)"
44,11.49,0.032838,4,0,300,"(0,300)"
45,0.27,0.0007740000000000001,4,0,300,"(0,300)"
46,1.968,0.015099,8,0,360,"(0,360)"
47,2.794,0.011074,12,0,180,"(0,180)"
48,0.36,0.001032,4,0,300,"(0,300)"
49,0.27,0.0007740000000000001,4,0,300,"(0,300)"
50,0.186,0.001818,12,0,180,"(0,180)"
51,0.477,0.0038859999999999997,12,0,180,"(0,180)"
52,11.865,0.065455,12,0,180,"(0,180)"
53,1.7000000000000002,0.07843000000000001,12,0,180,"(0,180)"
54,1.2,0.1404,12,0,180,"(0,180)"
55,1.75,0.01346,12,0,180,"(0,180)"
56,1.7,0.013099999999999999,12,0,180,"(0,180)"
57,7.300000000000001,0.03935,12,0,180,"(0,180)"
58,1.545,0.0030009999999999998,4,0,300,"(0,300)"
59,1.703,0.003434,4,0,300,"(0,300)"
60,2.652,0.013872,4,0,300,"(0,300)"
61,324.245,0.68223,12,0,180,"(0,180)"
62,3.096,0.013848000000000001,4,0,300,"(0,300)"
63,11.564,0.024024999999999998,4,0,300,"(0,300)"
64,13.26,0.06936,4,0,300,"(0,300)"
65,1.101,0.001869,4,0,300,"(0,300)"
66,3.221,0.006463,4,0,300,"(0,300)"
67,91.90100000000001,0.475012,8,0,360,"(0,360)"
68,0.601,0.0016469999999999998,4,0,300,"(0,300)"
69,6.228,0.011343,4,0,300,"(0,300)"
70,2.652,0.013872,4,0,300,"(0,300)"
71,0.957,0.0019019999999999998,12,0,180,"(0,180)"
72,1.961,0.004445999999999999,4,0,300,"(0,300)"
73,12.649999999999999,0.06624,4,0,300,"(0,300)"
74,72.27,0.16959800000000003,8,0,360,"(0,360)"
75,3.777,0.007833999999999999,8,0,360,"(0,360)"
76,4.116,0.016408000000000002,8,0,360,"(0,360)"
77,97.673,0.450748,8,0,360,"(0,360)"
78,21.124000000000002,0.147854,8,0,360,"(0,360)"
79,45.565,0.290771,8,0,360,"(0,360)"
80,0.63,0.001806,8,0,360,"(0,360)"
81,95.908,0.48343700000000006,8,0,360,"(0,360)"
82,1.326,0.006936,4,0,300,"(0,300)"
83,1.509,0.003191,4,0,300,"(0,300)"
84,1.9,0.003104,4,0,300,"(0,300)"
