NODE_ID,WEIGHT,VOLUME,SERVICE_TIME,EAT,LAT,TIME_WINDOW
1,1.135,0.0046429999999999996,4,0,300,"(0,300)"
2,15.229,0.034796,12,0,180,"(0,180)"
3,34.0,0.12188,4,0,300,"(0,300)"
4,0.912,0.02763,4,0,300,"(0,300)"
5,52.347,0.11000800000000001,4,0,300,"(0,300)"
6,45.282,0.100698,4,0,300,"(0,300)"
7,42.239999999999995,0.18412699999999999,8,0,360,"(0,360)"
8,2.052,0.003839,4,0,300,"(0,300)"
9,3.05,0.02017,12,0,180,"(0,180)"
10,5.075,0.02436,4,0,300,"(0,300)"
11,1.015,0.004872,4,0,300,"(0,300)"
12,0.97,0.0039900000000000005,4,0,300,"(0,300)"
13,18.005000000000003,0.042522,4,0,300,"(0,300)"
14,2.28,0.01458,12,0,180,"(0,180)"
15,0.42,0.003353,12,0,180,"(0,180)"
16,12.325,0.0030099999999999997,12,0,180,"(0,180)"
17,5.419,0.04822,8,0,360,"(0,360)"
18,4.952,0.022557,12,0,180,"(0,180)"
19,30.264,0.130667,8,0,360,"(0,360)"
20,11.374,0.118195,8,0,360,"(0,360)"
21,0.72,0.008868000000000001,4,0,300,"(0,300)"
22,5.4,0.01446,4,0,300,"(0,300)"
23,0.154,0.0019019999999999998,4,0,300,"(0,300)"
24,1.015,0.004872,4,0,300,"(0,300)"
25,8.985,0.029454,12,0,180,"(0,180)"
26,2.596,0.005006,4,0,300,"(0,300)"
27,1.553,0.002862,4,0,300,"(0,300)"
28,0.039,0.00028000000000000003,4,0,300,"(0,300)"
29,150.562,0.333285,12,0,180,"(0,180)"
30,93.28800000000001,0.314088,12,0,180,"(0,180)"
31,0.435,0.002088,4,0,300,"(0,300)"
32,3.211,0.006142000000000001,4,0,300,"(0,300)"
33,0.304,0.002996,4,0,300,"(0,300)"
34,1.089,0.004223,12,0,180,"(0,180)"
35,2.76,0.010039999999999999,4,0,300,"(0,300)"
36,3.876,0.007559,4,0,300,"(0,300)"
37,36.525,0.08084999999999999,4,0,300,"(0,300)"
38,19.4,0.07592,4,0,300,"(0,300)"
39,12.431999999999999,0.047700000000000006,4,0,300,"(0,300)"
40,0.228,0.002247,4,0,300,"(0,300)"
41,0.36,0.0044340000000000004,4,0,300,"(0,300)"
42,0.29,0.001392,4,0,300,"(0,300)"
43,1.76,0.003441,4,0,300,"(0,300)"
44,2.26,0.004011,4,0,300,"(0,300)"
45,14.8,0.0384,4,0,300,"(0,300)"
46,46.317,0.104463,4,0,300,"(0,300)"
47,0.7,0.0040999999999999995,4,0,300,"(0,300)"
48,1.015,0.004872,4,0,300,"(0,300)"
49,184.3,0.978531,4,0,300,"(0,300)"
50,1.015,0.004872,4,0,300,"(0,300)"
51,1.801,0.007947,4,0,300,"(0,300)"
52,14.985,0.057195,12,0,180,"(0,180)"
53,35.588,0.22396499999999997,12,0,180,"(0,180)"
54,1.881,0.0034879999999999998,4,0,300,"(0,300)"
55,5.254,0.01474,12,0,180,"(0,180)"
56,8.132,0.020496,4,0,300,"(0,300)"
57,1.015,0.004872,4,0,300,"(0,300)"
58,2.175,0.01044,4,0,300,"(0,300)"
59,3.422,0.006494,4,0,300,"(0,300)"
60,11.257,0.020954,4,0,300,"(0,300)"
61,4.718,0.009901,4,0,300,"(0,300)"
62,1.75,0.01485,12,0,180,"(0,180)"
63,0.288,0.00198,4,0,300,"(0,300)"
64,0.435,0.002088,4,0,300,"(0,300)"
65,19.6,0.08544,4,0,300,"(0,300)"
66,36.525,0.08084999999999999,4,0,300,"(0,300)"
